CIK,Name,Form,Filing date,Filing year,Filing quarter,URL of form,public float 1,public float 2,extract,point of public float,position of something...,checkbox extract,LAF,AF,NAF,SRC,LAF2,AF2,NAF2,SRC2,Filing status,FYenddate,FY year,"Filer status, alternate","Accelerated filer status, pre-2005",Filing status 2
1023731,8X8 INC /DE/,10-K,2009-05-26,2009,2,http://www.sec.gov/Archives/edgar/data/1023731/0001136261-09-000185.txt,53481192.0,53481192.0,"held by non-affiliates of the Registrant was $53,481,192. For purposes of this disclosure, shares of common stock held by persons who hold more than 5% of the outstanding shares of common stock and shares held by officers and directors of the Registrant have been excluded because such persons may be deemed to be affiliates. The determination of affiliate status for this purpose is not necessarily ",4402,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer or a smaller reporting company. see definitions of ""large accelerated filer,"" ""accelerated filer"" and ""smaller reporting company"" in rule 12b-2 of the exchange act. (check one): large accelerated filer ¨ accelerated filer ¨ non-accelerated filer x smaller reporting company ¨",large accelerated filer ¨ ,accelerated filer ¨ ,non-accelerated filer x ,smaller reporting company ¨,¨,¨,x,¨,Non-accelerated filer,"march 31, 2009",2009,,,,non-accelerated filer
1011290,99 CENTS ONLY STORES,10-K,2009-06-10,2009,2,http://www.sec.gov/Archives/edgar/data/1011290/0001140361-09-014405.txt,518458871.0,518458871.0,"held by non-affiliates of the Registrant on September 26, 2008 was $518,458,871 based on a $11.11 closing price for the Common Stock on such date. For purposes of this computation, all executive officers and directors have been deemed to be affiliates. Such determination should not be deemed to be an admission that such executive officers and directors are, in fact, affiliates of the Registrant. I",4148,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definition of “large accelerated filer,” “accelerated filer” and “smaller reporting company” in rule 12b-2 of the exchange act. large accelerated filer ¨ accelerated filer x non-accelerated filer ¨ smaller reporting company ¨",large accelerated filer ¨ ,accelerated filer x ,non-accelerated filer ¨ ,smaller reporting company ¨,¨,x,¨,¨,Accelerated filer,"march 28, 2009",2009,,,,accelerated filer
1042809,"A.C. Moore Arts & Crafts, Inc.",10-K/A,2009-05-04,2009,2,http://www.sec.gov/Archives/edgar/data/1042809/0001362310-09-006410.txt,140000000.0,140000000.0,"held by non-affiliates of the registrant was approximately $140 million based on $7.05, the closing price per share of the registrants common stock on such date, as reported on the NASDAQ Stock Market. (1) The number of shares of the registrants common stock outstanding as of April 28, 2009 was 20,647,160. D",4749,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. (check one): o large accelerated filer þ accelerated filer o non-accelerated filer o smaller reporting company",large accelerated filer þ ,accelerated filer o ,non-accelerated filer o ,smaller reporting company,þ,o,o,,,"january 3, 2009",2009,,,,accelerated filer
1435161,AB&T Financial CORP,10-K/A,2009-06-10,2009,2,http://www.sec.gov/Archives/edgar/data/1435161/0001435161-09-000012.txt,13993662.0,13993662.0,"held by non-affiliates computed by reference to the price at which the common equity was last sold, or the average bid and asked price of such common equity, as of the last business day of the registrant's most recently completed second fiscal quarter: $13,993,662 Indicate the number of shares outstanding of each of the registrants classes of common stock as of the latest practicable date: 2,668,2",3785,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of “large accelerated filer,” “accelerated filer” and “smaller reporting company” in rule 12b-2 of the exchange act (check one): large accelerated filer |_| accelerated filer |_| non-accelerated filer |_| smaller reporting company |x|",large accelerated filer |_| ,accelerated filer |_| ,non-accelerated filer |_| ,smaller reporting company |x|,||,||,||,|x|,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
881890,ABAXIS INC,10-K,2009-06-12,2009,2,http://www.sec.gov/Archives/edgar/data/881890/0000950123-09-013659.txt,295480000.0,295480000.0,"held by non-affiliates of Abaxis as of September 30, 2008, the last business day of the second fiscal quarter, was $295,480,000 based upon the closing sale price reported for such date on the NASDAQ Global Market. For purposes of this disclosure, 6,792,000 shares of common stock held by persons who hold more than 5% of the outstanding shares of registrants common stock and shares held by executive",4141,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer þ non-accelerated filer o smaller reporting company o",large accelerated filer o ,accelerated filer þ ,non-accelerated filer o ,smaller reporting company o,o,þ,o,o,Accelerated filer,"march 31, 2009",2009,,,,accelerated filer
356809,ABIGAIL ADAMS NATIONAL BANCORP INC,10-K,2009-04-17,2009,2,http://www.sec.gov/Archives/edgar/data/356809/0000950133-09-001161.txt,20700000.0,20700000.0,"held by non-affiliates of the Registrant, computed by reference to the last sale price on June 30, 2008, as reported by the Nasdaq Global Market, was approximately $20.7 million. As of April 14, 2009, there were outstanding 3,463,569 shares of the Registrants Common Stock. D",3955,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company þ",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company þ,o,o,o,þ,Smaller reporting company,,,,,,smaller reporting company
815094,ABIOMED INC,10-K,2009-06-08,2009,2,http://www.sec.gov/Archives/edgar/data/815094/0001193125-09-127074.txt,649874573.0,649874573.0,"held by non-affiliates of the registrant (without admitting that any person whose shares are not included in such calculation is an affiliate) computed by reference to the price at which the common stock was last sold as of such date was $649,874,573. As of May 29, 2009, 37,350,501 shares of the registrants common stock, $.01 par value, were outstanding. D",4220,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer ¨ accelerated filer x non-accelerated filer ¨ smaller reporting company ¨",large accelerated filer ¨ ,accelerated filer x ,non-accelerated filer ¨ ,smaller reporting company ¨,¨,x,¨,¨,Accelerated filer,"march 31, 2009",2009,,,,accelerated filer
1342505,ACCELLENT INC,10-K,2009-04-01,2009,2,http://www.sec.gov/Archives/edgar/data/1342505/0001140361-09-008437.txt,not given,none,"held by non-affiliates of the registrant as of June 30, 2008: not applicable As of March 27, 2009, 1,000 shares of the Registrants common stock were outstanding. The registrant is a wholly owned subsidiary of Accellent Holdings Corp. TABLE OF CONTENTS PART I 3 1. Business 3 1A. Risk Factors 13 1B. Unresolved Staff Comments 23 2. Properties 24 3. Legal Proceedings 24 4. Submission of Matters to a V",3663,266,"whether the registrant is a large accelerated filer, an accelerated filer, or a non-accelerated filer, or a smaller reporting company. see the definitions of “large accelerated filer”, “accelerated filer” and “smaller reporting company” in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer ý smaller reporting company o",large accelerated filer o ,accelerated filer o ,non-accelerated filer ý ,smaller reporting company o,o,o,ý,o,Non-accelerated filer,"december 31, 2008",2008,,,,non-accelerated filer
1002388,"ACCELRYS, INC.",10-K,2009-05-26,2009,2,http://www.sec.gov/Archives/edgar/data/1002388/0001193125-09-118381.txt,94900000.0,94900000.0,"held by non-affiliates of the registrant as of September 30, 2008 was $94.9 million (based upon the September 30, 2008 closing price for shares of the registrants common stock as reported by the NASDAQ Global Market). Shares of common stock held by each officer, director and holder of 5% or more of the outstanding common stock have been excluded in that such persons may be deemed to be affiliates.",4532,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer ¨ accelerated filer x non-accelerated filer ¨ smaller reporting company ¨",large accelerated filer ¨ ,accelerated filer x ,non-accelerated filer ¨ ,smaller reporting company ¨,¨,x,¨,¨,Accelerated filer,"march 31, 2009",2009,,,,accelerated filer
934445,ACL SEMICONDUCTOR INC,10-K,2009-04-14,2009,2,http://www.sec.gov/Archives/edgar/data/934445/0000930413-09-002016.txt,5665987.0,5665987.0,"held by non-affiliates of the registrant as of April 13, 2009 was approximately $5,665,987 based upon the closing price of $0.20 of the registrants common stock on the OTC Bulletin Board, as of the last business day of the most recently completed first fiscal quarter (March 31, 2009). (For purposes of determining this amount, only directors, executive officers, and 10% or greater stockholders have",3664,265,"whether the registrant is a large accelerated filer, an accelerated filer, or a non-accelerated filer. see definition of accelerated filer and large accelerated filer in rule 12b-2 of the exchange act. large accelerated filer o accelerated filer o non-accelerated filer x",large accelerated filer o ,accelerated filer o ,non-accelerated filer ,,o,o,,,,"december 31, 2008",2008,,,,non-accelerated filer
1104502,ACRONGENOMICS INC,10-K,2009-04-20,2009,2,http://www.sec.gov/Archives/edgar/data/1104502/0001062993-09-001411.txt,not given,12030556.0,"held by non-affiliates computed by reference to the price at which the common equity was last sold, or the average bid and asked price of such common equity, as of the last business day of the registrants most recently completed second fiscal quarter. 21,873,738 common shares at a price of $0.55 per share for an aggregate market value of $12,030,556 1 1 The aggregate market value of the voting sto",4243,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act large accelerated filer [ ] accelerated filer [ ] non-accelerated filer [ ] smaller reporting company [x]",large accelerated filer [ ] ,accelerated filer [ ] ,non-accelerated filer [ ] ,smaller reporting company [x],,,,x,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
1386975,"ACTAVISION VENTURES, INC.",10-K,2009-04-14,2009,2,http://www.sec.gov/Archives/edgar/data/1386975/0001386975-09-000002.txt,not given,blank largest val,none,-1,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer"","" accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer [ ] accelerated filer [ ] non-accelerated filer [ ](do not smaller reporting company [x] check if smaller reporting company)",large accelerated filer [ ] ,accelerated filer [ ] ,non-accelerated filer [ ](do not ,smaller reporting company [x] check,,,(donot,xcheck,,,,,,,smaller reporting company
747435,ACTION PRODUCTS INTERNATIONAL INC,10-K,2009-04-23,2009,2,http://www.sec.gov/Archives/edgar/data/747435/0001144204-09-021907.txt,not given,4106466.0,"held by non-affiliates was approximately 5,951,400 shares. The approximate market value based on $0.69, the last sale price on December 31, 2008, of the registrants Common Stock was approximately $4,106,466. TABLE OF CONTENTS Page",4036,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see definitions of “large accelerated filer”, “accelerated filer”, or “smaller reporting company in rule 12b-2 of the exchange act (check one): large accelerated filer ¨ accelerated filer ¨ non-accelerated filer ` ¨ smaller reporting company x",large accelerated filer ¨ ,accelerated filer ¨ ,non-accelerated filer ` ¨ ,smaller reporting company x,¨,¨,`¨,x,,"december 31, 2008",2008,,,,smaller reporting company
747435,ACTION PRODUCTS INTERNATIONAL INC,10-K/A,2009-04-23,2009,2,http://www.sec.gov/Archives/edgar/data/747435/0001144204-09-022018.txt,not given,blank largest val,none,-1,0,,,,,,,,,,,"december 31, 2008",2008,,,,
733269,ACXIOM CORP,10-K,2009-05-29,2009,2,http://www.sec.gov/Archives/edgar/data/733269/0000733269-09-000013.txt,834394430.0,834394430.0,"held by non-affiliates of the registrant, based upon the closing sale price of the registrants Common Stock, $.10 par value per share, as of the last business day of the registrants most recently completed second fiscal quarter as reported on the NASDAQ National Market was approximately $834,394,430. (For purposes of determination of the above stated amount only, all directors, executive officers ",4216,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. large accelerated filer x accelerated filer o non-accelerated filer o smaller reporting company o",large accelerated filer x ,accelerated filer o ,non-accelerated filer o ,smaller reporting company o,x,o,o,o,Large accelerated filer,"march 31, 2009",2009,,,,large accelerated filer
709804,ADAPTEC INC,10-K,2009-06-04,2009,2,http://www.sec.gov/Archives/edgar/data/709804/0000709804-09-000023.txt,320982434.0,320982434.0,"held by non-affiliates of the Registrant was $320,982,434 based on the closing sale price of the Registrant's common stock on The NASDAQ Global Market on the last business day of the Registrant's most recently completed second fiscal quarter. Shares of the Registrant's common stock beneficially owned by each executive officer and director of the Registrant and by each person known by the Registran",4207,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer or a smaller reporting company. see definition of ""large accelerated filer,"" ""accelerated filer,"" and ""smaller reporting company"" in rule 12b-2 of the exchange act. (check one): large accelerated filer ¨ accelerated filer x non-accelerated filer ¨ smaller reporting company ¨",large accelerated filer ¨ ,accelerated filer x ,non-accelerated filer ¨ ,smaller reporting company ¨,¨,x,¨,¨,Accelerated filer,"march 31, 2009",2009,,,,accelerated filer
1402531,"ADEX MEDIA, INC.",10-K/A,2009-04-02,2009,2,http://www.sec.gov/Archives/edgar/data/1402531/0001213900-09-000766.txt,74400000.0,74400000.0,"held by non-affiliates of the registrant, based upon the closing price of a share of the registrants common stock on June 30, 2008 (which is the last business day of registrants most recently completed second fiscal quarter), as reported on the Over The Counter Bulletin Board was approximately $74.4 million. Approximately 16.7 million shares of common stock held by each executive officer and direc",4201,266,"whether the registrant is a large accelerated filer, an accelerated filer, or a non-accelerated filer. see definition of “large accelerated filer,” “accelerated filer” and “smaller reporting company” in rule 12b-2 of the exchange act (check one): large accelerated filer ¨ accelerated filer ¨ non-accelerated filer ¨ smaller reporting company x",large accelerated filer ¨ ,accelerated filer ¨ ,non-accelerated filer ¨ ,smaller reporting company x,¨,¨,¨,x,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
1402531,"ADEX MEDIA, INC.",10-K/A,2009-04-30,2009,2,http://www.sec.gov/Archives/edgar/data/1402531/0001213900-09-001013.txt,not given,blank largest val,none,-1,0,,,,,,,,,,,"december 31, 2008, originally",2008,,,,
700815,ADINO ENERGY CORP,10-K/A,2009-04-17,2009,2,http://www.sec.gov/Archives/edgar/data/700815/0001144204-09-021170.txt,not given,blank largest val,none,-1,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of “large accelerated filer,” “accelerated filer” and “smaller reporting company” in rule 12b-2 of the exchange act). large accelerated filer ¨ accelerated filer ¨ non-accelerated filer ¨ smaller reporting company x",large accelerated filer ¨ ,accelerated filer ¨ ,non-accelerated filer ¨ ,smaller reporting company x,¨,¨,¨,x,Smaller reporting company,,,,,,smaller reporting company
700815,ADINO ENERGY CORP,10-K/A,2009-04-27,2009,2,http://www.sec.gov/Archives/edgar/data/700815/0001144204-09-022407.txt,3610143.0,3610143.0,"held by non-affiliates computed by reference to the price at which the common equity was sold, or the average bid and asked price of such common equity, as of a specified date within the past 60 days (See definition of affiliate in Rule 12b-2 of the Exchange Act.) $3,610,143 (calculated as of the closing price of April 11, 2008) State the number of shares outstanding of each of the issuers classes",3605,0,,,,,,,,,,,"december 31, 2007",2007,,,,
770034,ADVANCE DISPLAY TECHNOLOGIES INC,10-K/A,2009-05-20,2009,2,http://www.sec.gov/Archives/edgar/data/770034/0000770034-09-000015.txt,1825014.0,1825014.0,"held by non-affiliates of the registrant, computed as the average of the closing bid and asked prices as of September 19, 2008 was $1,825,014. As of September 19, 2008, the registrant had outstanding 26,198,177 shares of Common Stock. EXPLANATORY NOTE Advance Display Technologies Inc. (the Company) is filing this Amendment No. 1 on Form 10-KSB/A to amend its Annual Report on Form 10-KSB for the pe",3027,0,,,,,,,,,,,"june 30, 2008",2008,,,,
745651,"ADVANCED BATTERY TECHNOLOGIES, INC.",10-K/A,2009-04-24,2009,2,http://www.sec.gov/Archives/edgar/data/745651/0001096906-09-000438.txt,not given,78590584.0,"held by non-affiliates, computed by reference to the price at which the common equity was sold, or the average bid and ask prices of such common equity, as of a specified date within the past 60 days. The aggregate market value of the Registrants common stock, $.001 par value, held by non-affiliates as of March 12, 2009 was $78,590,584. As of March 12, 2009 the number of shares outstanding of the ",4106,265,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of “large accelerated filer,” “accelerated filer” and “smaller reporting company” in rule 12b-2 of the exchange act. (check one) large accelerated filer o accelerated filer x non-accelerated filer o smaller reporting company o",large accelerated filer o ,accelerated filer x ,non-accelerated filer o ,smaller reporting company o,o,x,o,o,Accelerated filer,"december 31, 2008",2008,,,,accelerated filer
1005356,ADVANCED ID CORP,10-K,2009-04-14,2009,2,http://www.sec.gov/Archives/edgar/data/1005356/0001014897-09-000046.txt,not given,3160237.0,"held by non-affiliates computed by reference to the price at which the common equity was last sold, or the average bid and asked price of such common equity, as of the last business day of the registrant's most recently completed second fiscal quarter. The market value of the registrant's voting $.01 par value common stock held by non-affiliates of the registrant was approximately $3,160,237. Indi",3907,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see definitions of ""large accelerated filer,"" ""accelerated file"" and ""smaller reporting company"" in rule 12b-2 of the exchange act. (check one): large accelerated filer [ ] accelerated filer [ ] non-accelerated filer [ ] smaller reporting company [x]",large accelerated filer [ ] ,accelerated filer [ ] ,non-accelerated filer [ ] ,smaller reporting company [x],,,,x,Smaller reporting company," december 31, 2008",2008,,,,smaller reporting company
1449349,ADVANCED MEDICAL ISOTOPE Corp,10-K,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1449349/0001199835-09-000172.txt,10681833.0,10681833.0,"held by non-affiliates of the registrant was approximately $10,681,833 based upon the closing sales price of the registrants common stock on June 30, 2008 of $0.69 per share. At March 31, 2009, 49,666,124 shares of the registrants common stock were outstanding. D",3760,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of “large accelerated filer”, “accelerated filer”, “non-accelerated filer”, and “smaller reporting company” in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x,o,o,o,x,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
1449349,ADVANCED MEDICAL ISOTOPE Corp,10-K/A,2009-06-24,2009,2,http://www.sec.gov/Archives/edgar/data/1449349/0001199835-09-000353.txt,10681833.0,10681833.0,"held by non-affiliates of the registrant was approximately $10,681,833 based upon the closing sales price of the registrants common stock on June 30, 2008 of $0.69 per share. At March 31, 2009, 49,666,124 shares of the registrants common stock were outstanding. D",3807,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of “large accelerated filer”, “accelerated filer”, “non-accelerated filer”, and “smaller reporting company” in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x,o,o,o,x,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
869986,ADVANCED PHOTONIX INC,10-K,2009-06-29,2009,2,http://www.sec.gov/Archives/edgar/data/869986/0001206774-09-001262.txt,not given,blank largest val,none,-1,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company þ",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company þ,o,o,o,þ,Smaller reporting company,"march 31, 2009",2009,,,,smaller reporting company
